",""Kingdom"",""Phylum"",""Class"",""Order"",""Family"",""Genus"",""Species"""
"ASV878,""Bacteria"",""FBP"",NA,NA,NA,NA,NA"
"ASV879,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Geodermatophilaceae"",""Blastococcus"",NA"
"ASV880,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV881,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV882,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Nocardioides"",""koreensis"""
"ASV883,""Bacteria"",""Actinobacteria"",""Thermoleophilia"",""Gaiellales"",""Gaiellaceae"",""Gaiella"",NA"
"ASV884,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Sphingobacteriales"",""Sphingobacteriaceae"",""Mucilaginibacter"",NA"
"ASV885,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Geodermatophilaceae"",""Blastococcus"",""massiliensis"""
"ASV886,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Subdoligranulum"",NA"
"ASV887,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Geodermatophilaceae"",""Geodermatophilus"",NA"
"ASV888,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",NA,NA,NA"
"ASV889,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Frankiaceae"",""Jatrophihabitans"",NA"
"ASV890,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",""Lactobacillaceae"",""Lactobacillus"",NA"
"ASV891,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Clostridiaceae_1"",""Clostridium_sensu_stricto_1"",NA"
"ASV892,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Massilia"",NA"
"ASV893,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micromonosporales"",""Micromonosporaceae"",""Micromonospora"",NA"
"ASV894,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Geodermatophilaceae"",""Blastococcus"",NA"
"ASV895,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Micrococcaceae"",""Paeniglutamicibacter"",NA"
"ASV896,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",""Streptococcaceae"",""Streptococcus"",NA"
"ASV897,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Micrococcaceae"",""Pseudarthrobacter"",NA"
"ASV898,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Flavobacteriales"",""Flavobacteriaceae"",""Flavobacterium"",""lindanitolerans"""
"ASV899,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Flavobacteriales"",""Weeksellaceae"",""Chryseobacterium"",NA"
"ASV900,""Bacteria"",""Chloroflexi"",""Chloroflexia"",""Chloroflexales"",""Roseiflexaceae"",NA,NA"
"ASV901,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Sphingobacteriales"",""Sphingobacteriaceae"",NA,NA"
"ASV902,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",""Leuconostocaceae"",""Leuconostoc"",NA"
"ASV903,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Eggerthellaceae"",NA,NA"
"ASV904,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Spirosomaceae"",""Spirosoma"",NA"
"ASV905,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",NA,NA,NA"
"ASV906,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micromonosporales"",""Micromonosporaceae"",""Actinoplanes"",NA"
"ASV907,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",NA,NA"
"ASV908,""Bacteria"",""Chloroflexi"",""Dehalococcoidia"",""S085"",NA,NA,NA"
"ASV909,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Intrasporangiaceae"",NA,NA"
"ASV910,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Flavobacteriales"",""Weeksellaceae"",""Chryseobacterium"",NA"
"ASV911,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Coriobacteriaceae"",""Collinsella"",NA"
"ASV912,""Bacteria"",""Deinococcus-Thermus"",""Deinococci"",""Deinococcales"",""Deinococcaceae"",""Deinococcus"",""proteolyticus"""
"ASV913,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Micrococcaceae"",""Kocuria"",NA"
"ASV914,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Peptostreptococcaceae"",""Romboutsia"",NA"
"ASV915,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",""Lactobacillaceae"",""Lactobacillus"",NA"
"ASV916,""Bacteria"",""Patescibacteria"",""Saccharimonadia"",""Saccharimonadales"",NA,NA,NA"
"ASV917,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Bacillaceae"",""Bacillus"",NA"
"ASV918,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV919,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Intrasporangiaceae"",NA,NA"
"ASV920,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Corynebacteriales"",""Corynebacteriaceae"",""Corynebacterium_1"",NA"
"ASV921,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Subdoligranulum"",NA"
"ASV922,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Nocardioides"",NA"
"ASV923,""Bacteria"",""Actinobacteria"",""MB-A2-108"",NA,NA,NA,NA"
"ASV924,""Bacteria"",""Proteobacteria"",""Deltaproteobacteria"",""Myxococcales"",""P3OB-42"",NA,NA"
"ASV925,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Coriobacteriaceae"",""Enorma"",NA"
"ASV926,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Micrococcaceae"",""Pseudarthrobacter"",NA"
"ASV927,""Bacteria"",""Patescibacteria"",""Saccharimonadia"",""Saccharimonadales"",NA,NA,NA"
"ASV928,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Nocardioides"",NA"
"ASV929,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Geodermatophilaceae"",""Geodermatophilus"",NA"
"ASV930,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Clostridiaceae_1"",""Sarcina"",NA"
"ASV931,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Clostridiaceae_1"",""Clostridium_sensu_stricto_1"",NA"
"ASV932,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Flavobacteriales"",""Weeksellaceae"",""Chryseobacterium"",NA"
"ASV933,""Bacteria"",""Deinococcus-Thermus"",""Deinococci"",""Deinococcales"",""Deinococcaceae"",""Deinococcus"",NA"
"ASV934,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV935,""Bacteria"",""Deinococcus-Thermus"",""Deinococci"",""Deinococcales"",""Deinococcaceae"",""Deinococcus"",NA"
"ASV936,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Frankiaceae"",""Jatrophihabitans"",NA"
"ASV937,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",""Clavibacter"",""michiganensis"""
"ASV938,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV939,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",""Subtercola"",NA"
"ASV940,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Variovorax"",NA"
"ASV941,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Aeromicrobium"",NA"
"ASV942,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Nocardioides"",NA"
"ASV943,""Bacteria"",""Acidobacteria"",""Acidobacteriia"",""Acidobacteriales"",""Acidobacteriaceae_(Subgroup_1)"",""Granulicella"",NA"
"ASV944,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Corynebacteriales"",""Corynebacteriaceae"",""Corynebacterium_1"",NA"
"ASV945,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Pseudonocardiales"",""Pseudonocardiaceae"",""Pseudonocardia"",NA"
"ASV946,""Bacteria"",""Proteobacteria"",""Deltaproteobacteria"",""Myxococcales"",""P3OB-42"",NA,NA"
"ASV947,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Sphingobacteriales"",""Sphingobacteriaceae"",""Pedobacter"",NA"
"ASV948,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Bacillaceae"",""Bacillus"",NA"
"ASV949,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV950,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Coriobacteriaceae"",""Collinsella"",NA"
"ASV951,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV952,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV953,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",NA,NA"
"ASV954,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV955,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Pseudonocardiales"",""Pseudonocardiaceae"",""Pseudonocardia"",NA"
"ASV956,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",""Cryobacterium"",NA"
"ASV957,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Cardiobacteriales"",""Wohlfahrtiimonadaceae"",""Ignatzschineria"",""indica"""
"ASV958,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Pseudonocardiales"",""Pseudonocardiaceae"",""Pseudonocardia"",NA"
"ASV959,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Achromobacter"",NA"
"ASV960,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Massilia"",""eurypsychrophila"""
"ASV961,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Pseudonocardiales"",""Pseudonocardiaceae"",""Pseudonocardia"",NA"
"ASV962,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Nakamurellaceae"",""Nakamurella"",NA"
"ASV963,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Nocardioides"",NA"
"ASV964,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV965,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Subdoligranulum"",NA"
"ASV966,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Intrasporangiaceae"",""Serinicoccus"",NA"
"ASV967,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Bacillaceae"",NA,NA"
"ASV968,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Flavobacteriales"",""Weeksellaceae"",""Chryseobacterium"",NA"
"ASV969,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",NA,NA"
"ASV970,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Corynebacteriales"",""Nocardiaceae"",""Williamsia"",""faeni"""
"ASV971,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",NA,NA,NA"
"ASV972,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV973,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Acetobacterales"",""Acetobacteraceae"",""Roseomonas"",NA"
"ASV974,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV975,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Rhizobiales"",""Xanthobacteraceae"",""Afipia"",NA"
"ASV976,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Intrasporangiaceae"",""Tetrasphaera"",NA"
"ASV977,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Rhizobiales"",""Xanthobacteraceae"",NA,NA"
"ASV978,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Micrococcaceae"",""Pseudarthrobacter"",NA"
"ASV979,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Rhizobiales"",""Xanthobacteraceae"",NA,NA"
"ASV980,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",""Leucobacter"",NA"
"ASV981,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Xanthomonadales"",""Xanthomonadaceae"",""Stenotrophomonas"",NA"
"ASV982,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Chitinophagales"",""Chitinophagaceae"",NA,NA"
"ASV983,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Nocardioides"",NA"
"ASV984,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Micrococcaceae"",""Pseudarthrobacter"",NA"
"ASV985,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",""Carnobacteriaceae"",""Desemzia"",NA"
"ASV986,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Acetobacterales"",""Acetobacteraceae"",""Acidiphilium"",NA"
"ASV987,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Corynebacteriales"",""Mycobacteriaceae"",""Mycobacterium"",NA"
"ASV988,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Intrasporangiaceae"",""Lapillicoccus"",NA"
"ASV989,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Aeromicrobium"",NA"
"ASV990,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Marmoricola"",NA"
"ASV991,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Pseudonocardiales"",""Pseudonocardiaceae"",""Saccharopolyspora"",""rectivirgula"""
"ASV992,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Flavobacteriales"",""Weeksellaceae"",""Chryseobacterium"",NA"
"ASV993,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Sphingobacteriales"",""Sphingobacteriaceae"",""Pedobacter"",NA"
"ASV994,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",NA,NA"
"ASV995,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Nocardioides"",NA"
"ASV996,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Nocardioides"",""hankookensis"""
"ASV997,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Bacillaceae"",""Bacillus"",NA"
"ASV998,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",NA,NA"
"ASV999,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"ASV1000,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Sphingobacteriales"",""Sphingobacteriaceae"",""Pedobacter"",NA"
"ASV1001,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Duganella"",NA"
"ASV1002,""Bacteria"",""Proteobacteria"",""Deltaproteobacteria"",""Myxococcales"",""P3OB-42"",NA,NA"
"ASV1003,""Bacteria"",""Actinobacteria"",""Actinobacteria"",NA,NA,NA,NA"
"ASV1004,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Dermatophilaceae"",NA,NA"
"ASV1005,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Acetobacterales"",""Acetobacteraceae"",NA,NA"
"ASV1006,""Bacteria"",""Proteobacteria"",""Deltaproteobacteria"",""Myxococcales"",""Polyangiaceae"",""Byssovorax"",""cruenta"""
"ASV1007,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",NA,NA,NA"
"ASV1008,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Rhizobiales"",""Beijerinckiaceae"",""1174-901-12"",NA"
"ASV1009,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Spirosomaceae"",""Spirosoma"",NA"
"ASV1010,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Corynebacteriales"",""Mycobacteriaceae"",""Mycobacterium"",NA"
"ASV1011,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Bacillaceae"",""Bacillus"",NA"
"ASV1012,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Frankiaceae"",""Jatrophihabitans"",NA"
"ASV1013,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Staphylococcaceae"",""Staphylococcus"",NA"
"ASV1014,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Bacillaceae"",""Bacillus"",NA"
"ASV1015,""Bacteria"",""Cyanobacteria"",""Oxyphotobacteria"",NA,NA,NA,NA"
"ASV1016,""Bacteria"",""Actinobacteria"",""Thermoleophilia"",""Gaiellales"",""Gaiellaceae"",""Gaiella"",NA"
"ASV1017,""Bacteria"",""Actinobacteria"",""Thermoleophilia"",""Gaiellales"",""Gaiellaceae"",""Gaiella"",NA"
"ASV1018,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Frankiaceae"",""Jatrophihabitans"",NA"
"ASV1019,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Clostridiaceae_1"",""Clostridium_sensu_stricto_1"",NA"
"ASV1020,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Eubacteriaceae"",""Eubacterium"",NA"
"ASV1021,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Nocardioides"",NA"
"ASV1022,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Rickettsiales"",""Mitochondria"",NA,NA"
"ASV1023,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Streptomycetales"",""Streptomycetaceae"",""Streptomyces"",NA"
"ASV1024,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV1025,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV1026,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV1027,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Nakamurellaceae"",""Nakamurella"",NA"
"ASV1028,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",""Morganella"",NA"
"ASV1029,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV1030,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Nocardioides"",NA"
"ASV1031,""Bacteria"",""Cyanobacteria"",""Oxyphotobacteria"",""Chloroplast"",NA,NA,NA"
"ASV1032,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",""Carnobacteriaceae"",""Carnobacterium"",NA"
"ASV1033,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Brevibacteriaceae"",""Brevibacterium"",""linens"""
"ASV1034,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV1035,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Rhizobiales"",""Rhizobiaceae"",""Aureimonas"",NA"
"ASV1036,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Peptostreptococcaceae"",""Paraclostridium"",NA"
"ASV1037,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",""Subtercola"",NA"
"ASV1038,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Dermatophilaceae"",NA,NA"
"ASV1039,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV1040,""Bacteria"",""Deinococcus-Thermus"",""Deinococci"",""Deinococcales"",""Deinococcaceae"",""Deinococcus"",""ficus"""
"ASV1041,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV1042,""Bacteria"",""Proteobacteria"",""Deltaproteobacteria"",""Myxococcales"",""P3OB-42"",NA,NA"
"ASV1043,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Pseudomonadales"",""Pseudomonadaceae"",""Pseudomonas"",""cichorii"""
"ASV1044,""Bacteria"",""Armatimonadetes"",""Armatimonadia"",""Armatimonadales"",NA,NA,NA"
"ASV1045,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Alicyclobacillaceae"",""Tumebacillus"",NA"
"ASV1046,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",""Pantoea"",NA"
"ASV1047,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Massilia"",NA"
"ASV1048,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Nocardioides"",""pyridinolyticus"""
"ASV1049,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",NA,NA"
"ASV1050,""Bacteria"",""Acidobacteria"",""Acidobacteriia"",""Acidobacteriales"",""Acidobacteriaceae_(Subgroup_1)"",""Terriglobus"",NA"
"ASV1051,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Micrococcaceae"",""Micrococcus"",NA"
"ASV1052,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Bacillaceae"",""Bacillus"",""bataviensis"""
"ASV1053,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Bordetella"",NA"
"ASV1054,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Dysgonomonadaceae"",""Dysgonomonas"",NA"
"ASV1055,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Sanguibacteraceae"",""Sanguibacter"",""keddieii"""
"ASV1056,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Bacillaceae"",NA,NA"
"ASV1057,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Bogoriellaceae"",""Georgenia"",NA"
"ASV1058,""Bacteria"",""Actinobacteria"",""Actinobacteria"",NA,NA,NA,NA"
"ASV1059,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV1060,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Intrasporangiaceae"",""Lapillicoccus"",NA"
"ASV1061,""Bacteria"",""Deinococcus-Thermus"",""Deinococci"",""Deinococcales"",""Deinococcaceae"",""Deinococcus"",""alpinitundrae"""
"ASV1062,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Streptomycetales"",""Streptomycetaceae"",""Streptomyces"",NA"
"ASV1063,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Propionibacteriales"",""Nocardioidaceae"",""Nocardioides"",""conyzicola"""
"ASV1064,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV1065,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",""Curtobacterium"",NA"
"ASV1066,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Sphingobacteriales"",""Sphingobacteriaceae"",""Mucilaginibacter"",NA"
"ASV1067,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV1068,""Bacteria"",""Actinobacteria"",""Thermoleophilia"",""Solirubrobacterales"",""67-14"",NA,NA"
"ASV1069,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV1070,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Sphingobacteriales"",""Sphingobacteriaceae"",""Mucilaginibacter"",NA"
"ASV1071,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Paenibacillaceae"",""Saccharibacillus"",""qingshengii"""
"ASV1072,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Micrococcaceae"",""Pseudarthrobacter"",NA"
"ASV1073,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",""Frigoribacterium"",NA"
"ASV1074,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Frankiaceae"",""Jatrophihabitans"",NA"
"ASV1075,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Frankiales"",""Geodermatophilaceae"",""Geodermatophilus"",NA"
"ASV1076,""Bacteria"",""Deinococcus-Thermus"",""Deinococci"",""Deinococcales"",""Deinococcaceae"",""Deinococcus"",NA"
"ASV1077,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV1078,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Corynebacteriales"",""Corynebacteriaceae"",""Corynebacterium_1"",NA"
